store_id;Product Handle;Product Title;Product Subtitle;Product Description;Product Status;Product Thumbnail;Product Weight;Product Length;Product Width;Product Height;Product HS Code;Product Origin Country;Product Material;Product Collection Title;Product Collection Handle;Product Type;Column1;Product Discountable;Product Profile Name;Product Profile Type;Variant Title;Variant SKU;Variant Barcode;Variant Inventory Quantity;Variant Manage Inventory;Price USD;Option 1 Name;Option 1 Value;Option 2 Name;Option 2 Value;Sales Channel 1 Name
1;Abe Epidermix 396 500Ml 39601052;Abe Epidermix 396 500Ml 39601052;;Abe Epidermix 396 500Ml 39601052;published;;;;;;;;;;;;;FALSE;;;;14219;;10;TRUE;0;;;;;
1;Abe Epoxy Adhesive Epidermix 2Pcs 4L 31801059;Abe Epoxy Adhesive Epidermix 2Pcs 4L 31801059;;Abe Epoxy Adhesive Epidermix 2Pcs 4L 31801059;published;;;;;;;;;;;;;FALSE;;;;14225;;10;TRUE;0;;;;;
11;Abe Havanna Beige 5L 33739005 Wd337;Abe Havanna Beige 5L 33739005 Wd337;;Abe Havanna Beige 5L 33739005 Wd337;published;;;;;;;;;;;;;FALSE;;;;15000;;10;TRUE;1136;;;;;
1;Abe Membrane 10Mx200Mm 14803279;Abe Membrane 10Mx200Mm 14803279;;Abe Membrane 10Mx200Mm 14803279;published;;;;;;;;;;;;;FALSE;;;;9568;;10;TRUE;67;;;;;
1;Abe Sahara Beige 5L 33741005 Wd337;Abe Sahara Beige 5L 33741005 Wd337;;Abe Sahara Beige 5L 33741005 Wd337;published;;;;;;;;;;;;;FALSE;;;;14999;;10;TRUE;1300;;;;;
1;Abe Super Laykold Black 20L 201020;Abe Super Laykold Black 20L 201020;;Abe Super Laykold Black 20L 201020;published;;;;;;;;;;;;;FALSE;;;;3475;;10;TRUE;1783;;;;;
1;Abe Super Laykold Black 5L;Abe Super Laykold Black 5L;;Abe Super Laykold Black 5L;published;;;;;;;;;;;;;FALSE;;;;16387;;10;TRUE;511;;;;;
1;Abe Tough Polyurethane Paint Golden Yellow 5L 3581005;Abe Tough Polyurethane Paint Golden Yellow 5L 3581005;;Abe Tough Polyurethane Paint Golden Yellow 5L 3581005;published;;;;;;;;;;;;;FALSE;;;;9197;;10;TRUE;342;;;;;
1;Abe Tough Polyurethane Paint Grey 5L 3574005;Abe Tough Polyurethane Paint Grey 5L 3574005;;Abe Tough Polyurethane Paint Grey 5L 3574005;published;;;;;;;;;;;;;FALSE;;;;21524;;10;TRUE;522;;;;;
1;Abe Tough Polyurethane Paint Havanna Beige 5L 3576005;Abe Tough Polyurethane Paint Havanna Beige 5L 3576005;;Abe Tough Polyurethane Paint Havanna Beige 5L 3576005;published;;;;;;;;;;;;;FALSE;;;;21439;;10;TRUE;1941;;;;;
